program_source_key	title_nl	title_en	aliases_en	term_count	genre_count	genres
21972	The Great American Songbook	The Great American Songbook		4	2	jazz | wereld
21977	De Nacht: Special			1	1	nachten
22119	De Oude Speeldoos	The Old Music Box		2	1	oud
22129	De Boekenkast	The Bookcase		2	1	raakvlakken
22175		Thunder, Lightning and Moonshine		1	1	raakvlakken
22537	Afgestoft	Dusted Off		2	1	klassiek
22539	Sax-o-Foon			1	1	klassiek
22541		Sax-o-Phone		1	1	klassiek
22847		Record up your Sleeve		2	2	crosslinks | wereld
23186	Dansen rondom de troon			1	1	klassiek
23365	House of Hard Bop	House of Hard Bop		2	1	jazz
23673	Van lucht tot toon			1	1	klassiek
23683	De Wandeling	An Early Evening Stroll		2	1	klassiek
23718	Early Delights	Early Delights		2	1	oud
23728		The Night: Opera		1	1	nachten
23782		Dancing Around The Throne		1	1	klassiek
23892	Door de Mazen van het Net	Slipped Through the Net		4	2	raakvlakken | wereld
23905	Solta a Franga	Solta a Franga		2	1	wereld
24005	De Vorige Eeuw	The Last Century		4	2	hedendaags | modern
24018		Earwitness		2	2	hedendaags | modern
24042		Old news?		2	2	hedendaags | modern
24070		The Night		1	1	nachten
24078	Pluto	Pluto		4	2	crosslinks | hedendaags
24218	Let’s Movie!			1	1	crosslinks
24348	De Nacht: Wereld	The Night: World Music		4	2	nachten | wereld
24359		Beat The Music		1	1	hedendaags
24400	Young Professionals Live	Young Professionals Live		2	1	klassiek
25011	België!			1	1	klassiek
25013		Belgium!		1	1	klassiek
25448	Zwerven door de Renaissance	Roaming the Renaissance		2	1	oud
25681	Muziek uit het nieuwe Europa			1	1	klassiek
25782	Serie Jordi Savall	Series Jordi Savall		2	1	oud
26670	ThE BlessinG ForcE	ThE BlessinG ForcE		4	3	crosslinks | hedendaags | modern
26696	Stars and Stripes			1	1	klassiek
27520	Vrije Radicalen	Free Radicals		6	3	crosslinks | modern | wereld
27592	Disc-Cover!	Disc-Cover!		2	1	wereld
27645	Exitos Musicales	Exitos Musicales		2	1	wereld
27674	New Folk Sounds on Air	New Folk Sounds on Air		2	1	wereld
27745	Documento	Documento		2	1	oud
27866	Kroniek van de Amsterdamse Muziek			2	2	klassiek | raakvlakken
27889	Nuove Musiche	Nuove Musiche		2	1	oud
27977	In Memoriam			3	3	hedendaags | klassiek | raakvlakken
28224	Sonoor	Harmonious		2	1	hedendaags
28379	Vrouwelijke componisten	Female Composers		2	1	klassiek
28942	JazzNotJazz	JazzNotJazz		2	1	jazz
28966	Klassieke Zaken	Classical Matters		2	1	klassiek
28984	Bonum est	Bonum Est		2	1	oud
29158	Moments of Modern Jazz	Moments of Modern Jazz		2	1	jazz
29293	De piano-etude, van oefening tot kunst	The Piano Etude: From Practice to Art		2	1	klassiek
29307	NL Symfonisch			1	1	klassiek
29396	Wind Vibes			1	1	klassiek
29922	KlankKleur			1	1	klassiek
30004	100 jaar GeNeCo			1	1	hedendaags
30038	Glans en Glorie			1	1	raakvlakken
30611	X-Rated	X-Rated		2	1	crosslinks
30624	Bijzondere instrumenten			1	1	klassiek
30764	Electronic Frequencies	Electronic Frequencies		2	1	crosslinks
30790	Zwerven door de Barok	Roaming the Baroque		2	1	oud
31168	Oorlog en Vrede			1	1	klassiek
31176	Musica Maluku!			1	1	wereld
31184	Duke Ellington	Duke Ellington		2	1	jazz
31189	Jazz Piano	Jazz Piano		2	1	jazz
31192	Jazz Carrousel	Jazz Carrousel		2	1	jazz
31194	Vocal Jazz	Vocal Jazz		2	1	jazz
31212	L’Esprit Baroque	L’Esprit Baroque		2	1	oud
31302	Kraak Helder	Clear as Crystal		4	2	crosslinks | hedendaags
31314	Het restje van de nacht			1	1	nachten
31356	Mexico			1	1	raakvlakken
31363	Antiqua versus Nova	Antiqua versus Nova		2	1	oud
31366	Vitezslav Novak			1	1	klassiek
31522	Een vroege wandeling	An early morning stroll		2	1	klassiek
31606	Musicians Corner	Musicians Corner		2	1	jazz
31742	Vredenburg Actueel			1	1	klassiek
31795	Tussen Concertzaal en Filmtheater	Between Concert Halls and Movie Theatres		3	2	klassiek | raakvlakken
31963	Latijns-Amerika en Curaçao			1	1	klassiek
32102	Radio Monalisa	Radio Monalisa		6	3	hedendaags | modern | raakvlakken
32233	X-Ray	X-Ray		2	1	crosslinks
32290		Master - Pupil		1	1	klassiek
32588	Kairos	Kairos		6	2	crosslinks | hedendaags
32600	Mondriaan Kwartet			1	1	klassiek
32658	The English Song			1	1	klassiek
33005	Classic Jazz	Classic Jazz		2	1	jazz
33166	Geen Dag zonder Bach	Bach Ad Infinitum		4	2	klassiek | oud
33212	De Zweedse symfonie	The Swedish Symphony		2	1	klassiek
33414	De Vroege Wereld	The Early World		2	1	wereld
33443	Front Runnin’	Front Runnin’		2	1	jazz
34016	Vredenburg live!	Vredenburg live!		2	1	wereld
34020	Fortepiano	Fortepiano		2	1	klassiek
34028	Passiemuziek			2	2	klassiek | raakvlakken
34329	Chanson	Chanson		4	2	crosslinks | raakvlakken
34476		Present Day Music		3	3	hedendaags | klassiek | modern
34531	Liszt & Wagner	Liszt & Wagner		2	1	raakvlakken
34796	Acoustic Roots	Acoustic Roots		2	1	wereld
34861	Dr. Klangendum	Dr. Klangendum		2	1	crosslinks
34911	Wagner 200			1	1	klassiek
35076	Koninkrijk der Nederlanden 200 jaar!			1	1	klassiek
35227	De Musyck Kamer	The Musyck Chamber		2	1	oud
35629	Framework 1	Framework 1		4	2	crosslinks | hedendaags
35712	Inventions For Radio	Inventions For Radio		2	1	crosslinks
36005	Wereldmuziek NL!	World Music NL		2	1	wereld
36218	100 jaar jazz !	100 years of jazz!		2	1	jazz
36581	Cello & contrabas	Violoncello & Double bass		2	1	klassiek
36830	De Échte Chopin	The Real Chopin		2	1	klassiek
36845	(a)Live & (RE)turn To Zender			1	1	modern
36931	Donemus	Donemus		4	2	hedendaags | modern
37576	Zuiver klassiek	Absolutely Classical		2	1	klassiek
37895	Madge-point	Madge-point		2	1	klassiek
38467	W.O. I	World War I		2	1	klassiek
39184	Franz Liszt, episodes uit het leven van een artiest	Franz Liszt, episodes from the life of an artist		4	2	klassiek | raakvlakken
39573	75 Jaar Blue Note	75 Years of Blue Note		2	1	jazz
39955	Acoustic Moods	Acoustic Moods		2	1	wereld
40284	Historisch fundament voor Tivoli Vredenburg	Historical fundament for Tivoli Vredenburg		2	1	raakvlakken
40975	Componist van de maand	Composer of the Month		2	1	klassiek
41077	Joseph Boulogne	Joseph Boulogne		2	1	klassiek
41842	Café Sonore	Café Sonore		2	1	crosslinks
42063	In zee met Jean Cras			1	1	klassiek
42292	Onbekend is Onbemind?	Unknown is Unloved?		2	1	klassiek
42538	Panorama De Leeuw	Panorama De Leeuw		4	2	hedendaags | raakvlakken
42647		Taking the plunge with Jean Cras		1	1	klassiek
42650	Pentatunes	Pentatunes		2	1	klassiek
43067	Liederen	Songs		2	1	klassiek
43309	Radio Rondje Evenaar	Radio Around the Globe		2	1	raakvlakken
43400	Luister tienen			1	1	klassiek
43984	Take Two	Take Two		2	1	jazz
44097		Top list of magazine Luister		1	1	klassiek
44335	Latin Jazz	Latin Jazz		2	1	jazz
